line_label,family,size_slot,route,total_ccd_samples,valid_selection_count,valid_selection_rate,option_1_pct,option_2_pct,option_3_pct,option_4_pct,option_5_pct,option_6_pct,option_7_pct,option_8_pct,option_9_pct,option_10_pct,option_1_delta_pp,option_2_delta_pp,option_3_delta_pp,option_4_delta_pp,option_5_delta_pp,option_6_delta_pp,option_7_delta_pp,option_8_delta_pp,option_9_delta_pp,option_10_delta_pp,dominant_option,dominant_option_share,effective_cluster_count,distribution_status
Qwen-S,Qwen,S,openrouter/qwen/qwen3-8b + openrouter/qwen/qwen3-vl-8b-instruct,2182,2182,100.000000,10.128323,6.645280,8.020165,7.607699,8.478460,19.202566,12.053162,11.090742,9.853346,6.920257,0.128323,-3.354720,-1.979835,-2.392301,-1.521540,9.202566,2.053162,1.090742,-0.146654,-3.079743,option_6 (Nordic Europe),19.202566,8.906089,ok
Qwen-M,Qwen,M,text: openrouter/qwen/qwen3-14b,2182,2182,100.000000,12.603116,6.049496,8.111824,7.241063,6.599450,21.860678,11.228231,8.982585,11.319890,6.003666,2.603116,-3.950504,-1.888176,-2.758937,-3.400550,11.860678,1.228231,-1.017415,1.319890,-3.996334,option_6 (Nordic Europe),21.860678,8.291492,ok
Qwen-L,Qwen,L,text: openrouter/qwen/qwen3-32b; vision: openrouter/qwen/qwen2.5-vl-72b-instruct,2182,2182,100.000000,13.565536,5.912007,7.836847,6.553621,6.049496,23.373052,10.219982,9.486709,10.724106,6.278643,3.565536,-4.087993,-2.163153,-3.446379,-3.950504,13.373052,0.219982,-0.513291,0.724106,-3.721357,option_6 (Nordic Europe),23.373052,7.967422,ok
DeepSeek-S,DeepSeek,S,No distinct small OpenRouter route exposed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,missing_route
DeepSeek-M,DeepSeek,M,text: openrouter/deepseek/deepseek-r1-distill-llama-70b (DeepInfra-pinned recovery route),2182,0,0.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no_valid_visible_choices
DeepSeek-L,DeepSeek,L,openrouter/deepseek/deepseek-chat-v3.1,2182,2177,99.770852,14.423519,7.165825,7.854846,5.328434,5.144695,22.553973,7.854846,7.073955,10.978411,11.621497,4.423519,-2.834175,-2.145154,-4.671566,-4.855305,12.553973,-2.145154,-2.926045,0.978411,1.621497,option_6 (Nordic Europe),22.553973,7.987530,ok
Llama-S,Llama,S,openrouter/meta-llama/llama-3.2-11b-vision-instruct,2182,2182,100.000000,18.194317,5.453712,6.691109,7.057745,4.399633,23.923006,8.753437,7.974335,13.290559,4.262145,8.194317,-4.546288,-3.308891,-2.942255,-5.600367,13.923006,-1.246563,-2.025665,3.290559,-5.737855,option_6 (Nordic Europe),23.923006,7.235663,ok
Llama-M,Llama,M,text: openrouter/meta-llama/llama-3.3-70b-instruct,2182,2131,97.662695,17.691225,6.006570,6.992023,7.179728,5.631159,20.553731,10.136086,9.619897,10.886908,5.302675,7.691225,-3.993430,-3.007977,-2.820272,-4.368841,10.553731,0.136086,-0.380103,0.886908,-4.697325,option_6 (Nordic Europe),20.553731,8.028345,ok
Llama-L,Llama,L,text: openrouter/meta-llama/llama-4-maverick; vision: openrouter/meta-llama/llama-4-maverick,2182,2013,92.254812,16.294088,5.812221,6.954794,7.103825,4.918033,23.546945,9.289617,8.047690,11.674118,6.358669,6.294088,-4.187779,-3.045206,-2.896175,-5.081967,13.546945,-0.710383,-1.952310,1.674118,-3.641331,option_6 (Nordic Europe),23.546945,7.665547,ok
Gemma-S,Gemma,S,openrouter/google/gemma-3-4b-it,2182,2182,100.000000,12.373969,6.507791,8.707608,7.332722,6.141155,21.631531,10.907424,11.136572,9.074244,6.186984,2.373969,-3.492209,-1.292392,-2.667278,-3.858845,11.631531,0.907424,1.136572,-0.925756,-3.813016,option_6 (Nordic Europe),21.631531,8.373033,ok
Gemma-M,Gemma,M,text: openrouter/google/gemma-3-12b-it; vision: openrouter/google/gemma-3-12b-it,2182,2182,100.000000,8.432631,7.653529,9.074244,6.141155,7.561870,18.606783,13.978002,10.953254,7.836847,9.761687,-1.567369,-2.346471,-0.925756,-3.858845,-2.438130,8.606783,3.978002,0.953254,-2.163153,-0.238313,option_6 (Nordic Europe),18.606783,8.887303,ok
Gemma-L,Gemma,L,text: openrouter/google/gemma-3-27b-it; vision: openrouter/google/gemma-3-27b-it,2182,2182,100.000000,9.670027,7.882676,11.228231,6.141155,6.507791,17.552704,11.594867,12.007333,7.103575,10.311641,-0.329973,-2.117324,1.228231,-3.858845,-3.492209,7.552704,1.594867,2.007333,-2.896425,0.311641,option_6 (Nordic Europe),17.552704,9.047404,ok
